Sam,Collection date,Collection month,Individual ID,Age,Species = grey seal,Sex,How it was found,Cause of death,"County, see https://sv.wikipedia.org/wiki/L%C3%A4nsbokstav ","Sea area: BV= Bothnian Bay, BH= Bothnian Sea, EÖ= Main Baltic Proper, VH= Swedish West coast",,Autopsy date,Weight,Length,Blubber thickness,Status of the uterus,,Pregnant (x) or not (0),PS,CA,,Pregnancy status,,Fetus length from nose to tail,Fetus crown-rump length
Fyndår,Fynddatum,Fyndmånad,Nr,Ålder (formel),Art,Kön,Fyndomständighet,Dödsorsak,Län,Havsområde BV BH EÖ VH,Hel kropp 0/x,Undersökningsdatum,Kroppsvikt kg,Kroppslängd cm,Späck (mm),Uterusstatus,Uterus/Sten/Ockl/Leio,Dräktig 0/x,Placentaärr,CA,CL,Dräktighetsstatus HELCOM,Postpartum dräktig HELCOM,Foster längd (cm) nossvans,Foster längd (cm) crownrump
1995,19951108,11,A1995/05153,30,Gråsäl,Hona,Fiskeredskap,"Drunkning, löjryssja",BD,BV,x,19951113,148.0,174,55,dräktig,myom,x,,Ja,Ja,Dräktig,,44.5,
1995,19950715,7,A1996/05014,#N/A,Gråsäl,Hona,Strandad,tarmperforation,AC,BV,x,19960429,34.0,135,16,,0,0,,,,,,,
1996,19960325,3,A1996/05035,#N/A,Gråsäl,Hane,Strandad,,I,EÖ,x,19960401,48.0,,45,,,,,,,,,,
1996,19960325,3,A1996/05036,#N/A,Gråsäl,Hane,Strandad,trauma,I,EÖ,x,19960401,46.1,114,45,,,,,,,,,,
1996,19960408,4,A1996/05042,#N/A,Gråsäl,Hane,Funnen levande,"Funnen levande på gräsmatta, skickad till Skansen, antibiotikabehandlad",D,EÖ,x,19960411,8.2,87,5,,,,,,,,,,
1996,19960421,4,A1996/05051,#N/A,Gråsäl,Hane,Fiskeredskap,"Avlivad i fiskeredskap, laxgarn, skjuten",C,BH,x,19960423,36.0,107,43,,,,,,,,,,
1996,19960424,4,A1996/05052,#N/A,Gråsäl,Hona,Funnen levande,"Funnen sjuk, avlivad dagen efter, skjuten av Rolf Beinert ",I,EÖ,x,19960424,,177,11,,myom,0,,,,,,,
1996,19960421,4,A1996/05054,#N/A,Gråsäl,Hona,Fiskeredskap,"Funnen död, druknad, troligen Drunkning",I,EÖ,x,19960425,17.1,100,18,,0,0,,,,Juvenil,,,
1996,19960424,4,A1996/05057,#N/A,Gråsäl,Hane,Fiskeredskap,Drunkning,H,EÖ,x,19960426,27.5,106,23,,,,,,,,,,
1996,19960424,4,A1996/05058,#N/A,Gråsäl,Hona,Fiskeredskap,Drunkning,H,EÖ,x,19960426,29.0,104,32,,0,0,,,,Juvenil,,,
