Sam,Collection date,Collection month,Individual ID,Age,Species = grey seal,Sex,How it was found,Cause of death,"County, see https://sv.wikipedia.org/wiki/L%C3%A4nsbokstav","Sea area: BV= Bothnian Bay, BH= Bothnian Sea, EÖ= Main Baltic Proper, VH= Swedish West coast","Body (x), Samples (0)",Autopsy date,Weight,Length,Blubber thickness,Status of the uterus,,Pregnant (x) or not (0),PS,CA,CL,Pregnancy status,,Fetus length nose-tail,Fetus length crown-rump ,
Fyndår,Fynddatum,Fyndmånad,Nr,Ålder ,Art,Kön,Fyndomständighet,Dödsorsak,Län,Havsområde BV BH EÖ VH,Hel kropp 0/x,Undersökningsdatum,Kroppsvikt kg,Kroppslängd cm,Späck (mm),Uterusstatus,Uterus/Sten/Ockl/Leio,Dräktig 0/x,Placentaärr,CA,CL,Dräktighetsstatus HELCOM,Postpartum dräktig HELCOM,Foster längd (cm) nossvans,Foster längd (cm) crownrump,
2023,10/09/2023,9,B2024/00489,10,Grey seal,Female,Hunt,Shot,C,BH,0,23/02/2024,,170,70,Parous,,x,Ja,Nej,Ja,Dräktig,PP placentaärr,19,,
2023,11/09/2023,9,B2024/00490,0,Grey seal,Male,Hunt,Shot,C,BH,0,23/02/2024,38,115,40,,,,,,,,,,,
2024,07/02/2024,2,B2024/00555,34,Grey seal,Male,Stranded,Starvation,M,EÖ,x,29/02/2024,129.5,209,16,,,,,,,,,,,
2023,29/09/2023,9,B2024/00613,3,Grey seal,Male,Hunt,Shot,X,BH,0,26/02/2024,95,158,43,,,,,,,,,,,
2023,28/08/2023,8,B2024/00614,11,Grey seal,Male,Hunt,Shot,D,EÖ,0,28/02/2024,,193,43,,,,,,,,,,,
2023,06/11/2023,11,B2024/00615,3,Grey seal,Male,Hunt,Shot,X,BH,0,28/02/2024,,161,40,,,,,,,,,,,
2023,06/11/2023,11,B2024/00616,7,Grey seal,Female,Hunt,Shot,X,BH,0,28/02/2024,,168,50,Parous,,x,Ja,Nej,Ja,Dräktig,PP placentaärr,41.5,,
2023,06/11/2023,11,B2024/00648,,Grey seal,Female,Hunt,Mother shot,X,BH,x,28/02/2024,1.894,41.5,,,,,,,,,,,,
2023,28/08/2023,8,B2024/00840,0,Grey seal,Female,Hunt,Shot,D,EÖ,0,14/03/2024,,112,32,Juvenile,,0,Nej,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00841,0,Grey seal,Female,Hunt,Shot,D,EÖ,0,14/03/2024,,122,38,Juvenile,,0,Nej,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00842,0,Grey seal,Female,Hunt,Shot,D,EÖ,0,08/03/2024,,108,43,Juvenile,,0,Nej,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00843,0,Grey seal,Female,Hunt,Shot,D,EÖ,0,08/03/2024,,114,32,Juvenile,,0,Nej,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00844,0,Grey seal,Female,Hunt,Shot,D,EÖ,0,08/03/2024,,108,33,Juvenile,,0,Nej,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00845,7,Grey seal,Female,Hunt,Shot,D,EÖ,0,05/03/2024,,168,50,Parous,,x,Ja,Nej,Ja,Dräktig,PP placentaärr,21.5,,
2023,25/08/2023,8,B2024/00888,13,Grey seal,Female,Hunt,Shot,C,BH,0,02/04/2024,101,170,55,Parous,,x,Ja,Ja,Ja,Dräktig,PP placentaärr+CA,21,,
2023,29/08/2023,8,B2024/00889,6,Grey seal,Male,Hunt,Shot,M,EÖ,0,02/04/2024,100,160,50,,,,,,,,,,,
2023,28/08/2023,8,B2024/00897,0,Grey seal,Female,Hunt,Shot,I,EÖ,0,21/04/2024,40,126,30,Juvenile,,0,Nej,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00901,3,Grey seal,Male,Hunt,Shot,I,EÖ,0,22/04/2024,,,,,,,,,,,,,,
2023,28/08/2023,8,B2024/00896,0,Grey seal,Male,Hunt,Shot,I,EÖ,0,21/04/2024,35,123,25,,,,,,,,,,,
2023,28/08/2023,8,B2024/00900,2,Grey seal,Male,Hunt,Shot,I,EÖ,0,22/04/2024,,150,38,,,,,,,,,,,
2023,28/08/2023,8,B2024/00899,2,Grey seal,Male,Hunt,Shot,I,EÖ,0,22/04/2024,,133,30,,,,,,,,,,,
2023,28/08/2023,8,B2024/00895,0,Grey seal,Male,Hunt,Shot,I,EÖ,0,21/04/2024,40,114,20,,,,,,,,,,,
2023,28/08/2023,8,B2024/00891,0,Grey seal,Male,Hunt,Shot,I,EÖ,0,21/04/2024,40,121,18,,,,,,,,,,,
2023,10/09/2023,9,B2024/00894,0,Grey seal,Male,Hunt,Shot,I,EÖ,0,21/04/2024,,120,30,,,,,,,,,,,
2023,28/08/2023,8,B2024/00890,0,Grey seal,Male,Hunt,Shot,I,EÖ,0,21/04/2024,30,110,20,,,,,,,,,,,
2023,10/09/2023,9,B2024/00892,0,Grey seal,Female,Hunt,Shot,I,EÖ,0,21/04/2024,,115,27,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00893,0,Grey seal,Male,Hunt,Shot,I,EÖ,0,21/04/2024,40,119,30,,,,,,,,,,,
